Query_SMILES,Rank,Similarity,Viable_SMILES
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,16,0.1095890410958904,[16*]c1cccc([16*])c1C.[9*]n1c([14*])cc2cnc([14*])nc21
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,17,0.10891089108910891,CC1CNC(=O)c2cnn3ccc(nc23)NC(C)c2cc(F)ccc2O1.[1*]C(=O)C([4*])C
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,18,0.10714285714285714,[15*]C1CCc2cc(O)ccc2C1.[9*]n1cc(F)c([14*])nc1=O
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,19,0.10309278350515463,[16*]c1ccc2nc3c(c([16*])c2c1)Cn1c-3cc2c(c1=O)COC(=O)C2(O)CC.[8*]CC[8*]
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,20,0.10126582278481013,[9*]n1c([14*])cc2cccc(Cl)c2c1=O.[9*]n1cc([16*])c([14*])n1
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,21,0.1,[1*]C(=O)NOC.[3*]OC1CC([15*])(O)Cc2c(O)c3c(c(O)c21)C(=O)c1ccccc1C3=O
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,22,0.09782608695652174,[12*]S(=O)(=O)c1c(F)cccc1F.[13*]C12C([15*])C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,23,0.09722222222222222,[14*]c1nc([14*])nc([14*])n1.[15*]C1CCc2cc(F)cc(F)c2C1
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,24,0.09523809523809523,CC1CNC(=O)c2cnn3ccc(nc23)NC(C)c2cc(F)ccc2O1.[16*]c1ccc(Cl)c([16*])c1
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,25,0.09523809523809523,[3*]OC1CC([15*])(O)Cc2c(O)c3c(c(O)c21)C(=O)c1ccccc1C3=O.[7*]CC[7*]
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,26,0.0945945945945946,[16*]c1c2ccccc2nc2ccccc12.[4*]C(CC(C)C)B(O)O
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,27,0.09278350515463918,[13*]C1OC([13*])C(F)(F)C1O.[15*]C1C(OC)=CC23CCCN2CCc2cc4c(cc2C13)OCO4
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,28,0.09090909090909091,[13*]C1CC(N)C(O)C(C)O1.[14*]c1nc([14*])c([14*])s1
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,29,0.0898876404494382,[13*]C1OC([13*])C(O)C(O)C1O.[16*]c1ccc(N=C(c2ccccc2)c2c(O)[nH]c3cc([16*])ccc23)cc1
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,30,0.08955223880597014,[16*]c1cccc([16*])c1C.[9*]n1ccc([14*])n1
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,31,0.08860759493670886,[1*]C(=O)C(=C)F.[9*]n1c([14*])nc2cccc(F)c2c1=O
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,32,0.08823529411764706,[14*]c1cc([16*])c(Cl)cn1.[14*]c1cc([16*])ccn1
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,33,0.0875,[14*]c1cc([14*])on1.[9*]n1c([14*])cc2cccc(Cl)c2c1=O
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,34,0.0851063829787234,[16*]c1ccc(F)c([16*])c1.[3*]OC1CC([15*])(N)Cc2c(O)c3c(c(O)c21)C(=O)c1ccccc1C3=O
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,35,0.08333333333333333,[1*]C(=O)C(C)(O)CS(=O)(=O)c1ccc(F)cc1.[14*]c1csc([14*])n1
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,36,0.08333333333333333,[14*]c1ccnc(N)n1.[16*]c1ccc([16*])c(F)c1
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,37,0.08108108108108109,[10*]N1C(=O)c2ccccc2C1=O.[14*]c1cc([16*])c(Cl)cn1
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,38,0.08108108108108109,[14*]c1cnc2nc(N)nc(N)c2n1.[7*]C([8*])CC
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,39,0.08,[13*]C1CC(O)C([13*])O1.[16*]c1cc([16*])c(Br)cc1F
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,40,0.07936507936507936,[13*]C1(C)CO1.[15*]C1CC(F)(F)C1
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,41,0.07894736842105263,[1*]C(=O)C([4*])CO.[16*]c1cc2nccc([16*])c2cc1[16*]
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,42,0.0759493670886076,[10*]N1C(=O)NC(C)(C)C1=O.[14*]c1ncnc2nc[nH]c12
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,43,0.075,[14*]c1ccccn1.[9*]n1cnc2c(N)nc3ccccc3c21
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,44,0.07352941176470588,[10*]N1C(=O)c2ccccc2C1=O.[8*]C(C)(C)C(F)(F)F
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,45,0.07317073170731707,[14*]c1cc(C)on1.[9*]n1c(=O)c2c([14*])n(C)c(=O)c(C)c2n([9*])c1=O
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,46,0.07228915662650602,[16*]c1cc([16*])c(C)cc1[16*].[9*]n1cnc2c(N)nc3ccccc3c21
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,47,0.07228915662650602,[16*]c1ccc2nc(C)[nH]c(=O)c2c1.[9*]n1nc([14*])c([16*])c1N
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,48,0.07142857142857142,[1*]C(=O)C(=C)F.[9*]n1cc([16*])c([14*])n1
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,49,0.07142857142857142,[15*]C1([15*])CC1.[6*]C(=O)O
CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,50,0.07142857142857142,[16*]c1ccccc1Cl.[8*]CCCC(=O)O
CC#CC(=O)N1CCCC1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5,1,0.19101123595505617,[14*]c1ccccn1.[9*]n1cnc2c(N)nc3ccccc3c21
CC#CC(=O)N1CCCC1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5,2,0.14736842105263157,[16*]c1cc([16*])c(C)cc1[16*].[9*]n1cnc2c(N)nc3ccccc3c21
CC#CC(=O)N1CCCC1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5,3,0.13333333333333333,[1*]C(=O)NOC.[3*]OC1CC([15*])(O)Cc2c(O)c3c(c(O)c21)C(=O)c1ccccc1C3=O
CC#CC(=O)N1CCCC1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5,4,0.12962962962962962,[16*]c1ccc(N=C(c2ccccc2)c2c(O)[nH]c3cc([16*])ccc23)cc1.[9*]n1ccc(N)nc1=O
CC#CC(=O)N1CCCC1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5,5,0.12941176470588237,[16*]c1cccc([16*])c1C.[5*]N1CCC([15*])C1
CC#CC(=O)N1CCCC1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5,6,0.125,[1*]C(=O)C([4*])C[4*].[9*]n1cnc2c(N)nc(Cl)nc21
CC#CC(=O)N1CCCC1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5,7,0.125,S=P(N1CC1)(N1CC1)N1CC1.[9*]n1cnc(N)nc1=O
CC#CC(=O)N1CCCC1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5,8,0.125,[1*]C(=O)CCCC.[5*]N1CCc2c([14*])nc([14*])nc2C1
CC#CC(=O)N1CCCC1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5,9,0.12121212121212122,[16*]c1c(C)[nH]c2ccccc12.[9*]n1cnc2c([14*])nc(N)nc21
CC#CC(=O)N1CCCC1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5,10,0.1188118811881188,[15*]C1CCc2cc(O)ccc2C1.[9*]n1cc(F)c([14*])nc1=O
CC#CC(=O)N1CCCC1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5,11,0.11864406779661017,CC1CNC(=O)c2cnn3ccc(nc23)NC(C)c2cc(F)ccc2O1.[1*]C(=O)C([4*])C
CC#CC(=O)N1CCCC1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5,12,0.11494252873563218,[5*]N[5*].[9*]n1cnc2c(N)nc(Cl)nc21
CC#CC(=O)N1CCCC1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5,13,0.11235955056179775,[1*]C([1*])=O.[14*]c1ncn2c(=O)n(C)nnc12
CC#CC(=O)N1CCCC1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5,14,0.11206896551724138,[14*]c1ccnc([14*])n1.[15*]C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
CC#CC(=O)N1CCCC1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5,15,0.1111111111111111,[16*]c1c(C)cc(C)[nH]c1=O.[9*]n1nc(C#Cc2cc([16*])cc([16*])c2)c2c(N)ncnc21
